checkout_id,member_id,book_title,genre,checkout_date,due_date,return_date,late_fee
CHK-3001,MEM-0014,The Great Gatsby,Classic Fiction,2026-06-12,2026-07-03,2026-07-03,0.0
CHK-3002,MEM-0034,Jane Eyre,Gothic,2026-07-19,2026-08-09,,
CHK-3003,MEM-0060,The Catcher in the Rye,Classic Fiction,2026-01-02,2026-01-23,,
CHK-3004,MEM-0051,The Hobbit,Adventure,2026-06-16,2026-07-07,,
CHK-3005,MEM-0028,The Catcher in the Rye,Classic Fiction,2026-04-01,2026-04-22,2026-04-22,0.0
CHK-3006,MEM-0008,Crime and Punishment,Historical Fiction,2026-06-07,2026-06-28,2026-07-03,1.25
CHK-3007,MEM-0048,War and Peace,Historical Fiction,2026-05-24,2026-06-14,,
CHK-3008,MEM-0011,To Kill a Mockingbird,Classic Fiction,2026-02-18,2026-03-11,2026-03-13,
CHK-3009,MEM-0053,Moby Dick,Adventure,2026-05-14,2026-06-04,2026-06-09,1.25
CHK-3010,MEM-0052,The Catcher in the Rye,Classic Fiction,2026-01-29,2026-02-19,2026-02-26,1.75
CHK-3011,MEM-0031,War and Peace,Historical Fiction,2026-01-28,2026-02-18,,
CHK-3012,MEM-0060,Moby Dick,Adventure,2026-05-31,2026-06-21,,
CHK-3013,MEM-0025,The Great Gatsby,Classic Fiction,2026-07-28,2026-08-18,2026-08-18,0.0
CHK-3014,MEM-0006,Brave New World,Dystopian,2026-07-08,2026-07-29,2026-08-03,
CHK-3015,MEM-0005,The Great Gatsby,Classic Fiction,2026-07-12,2026-08-02,,
CHK-3016,MEM-0040,Moby Dick,Adventure,2026-07-22,2026-08-12,2026-08-12,0.0
CHK-3017,MEM-0041,To Kill a Mockingbird,Classic Fiction,2026-03-12,2026-04-02,2026-04-02,0.0
CHK-3018,MEM-0007,Brave New World,Dystopian,2026-05-10,2026-05-31,2026-05-31,0.0
CHK-3019,MEM-0012,The Great Gatsby,Classic Fiction,2026-01-26,2026-02-16,2026-02-16,0.0
CHK-3020,MEM-0003,Frankenstein,Gothic,2026-05-26,2026-06-16,,
CHK-3021,MEM-0048,War and Peace,Historical Fiction,2026-07-21,2026-08-11,2026-08-17,1.5
CHK-3022,MEM-0032,The Hobbit,Adventure,2026-01-06,2026-01-27,2026-01-27,0.0
CHK-3023,MEM-0029,Moby Dick,Adventure,2026-05-26,2026-06-16,2026-06-20,1.0
CHK-3024,MEM-0019,Frankenstein,Gothic,2026-07-07,2026-07-28,,
CHK-3025,MEM-0003,Pride and Prejudice,Classic Fiction,2026-04-11,2026-05-02,2026-05-02,0.0
CHK-3026,MEM-0005,Frankenstein,Gothic,2026-04-07,2026-04-28,,
CHK-3027,MEM-0042,Brave New World,Dystopian,2026-02-26,2026-03-19,2026-03-20,0.25
CHK-3028,MEM-0014,Moby Dick,Adventure,2026-07-06,2026-07-27,,
CHK-3029,MEM-0039,Brave New World,Dystopian,2026-03-01,2026-03-22,2026-03-22,0.0
CHK-3030,MEM-0018,Frankenstein,Gothic,2026-07-08,2026-07-29,2026-08-02,1.0
CHK-3031,MEM-0009,The Great Gatsby,Classic Fiction,2026-01-04,2026-01-25,2026-01-25,0.0
CHK-3032,MEM-0038,Crime and Punishment,Historical Fiction,2026-01-10,2026-01-31,2026-01-31,0.0
CHK-3033,MEM-0052,Frankenstein,Gothic,2026-04-10,2026-05-01,2026-05-05,1.0
CHK-3034,MEM-0026,The Great Gatsby,Classic Fiction,2026-02-21,2026-03-14,,
CHK-3035,MEM-0029,To Kill a Mockingbird,Classic Fiction,2026-03-14,2026-04-04,,
CHK-3036,MEM-0035,The Great Gatsby,Classic Fiction,2026-01-28,2026-02-18,2026-02-18,0.0
CHK-3037,MEM-0015,Brave New World,Dystopian,2026-06-03,2026-06-24,2026-06-24,0.0
CHK-3038,MEM-0055,The Hobbit,Adventure,2026-03-06,2026-03-27,,
CHK-3039,MEM-0046,Frankenstein,Gothic,2026-03-20,2026-04-10,2026-04-10,0.0
CHK-3040,MEM-0030,Moby Dick,Adventure,2026-01-23,2026-02-13,2026-02-14,
CHK-3041,MEM-0045,To Kill a Mockingbird,Classic Fiction,2026-06-04,2026-06-25,2026-06-30,1.25
CHK-3042,MEM-0010,The Hobbit,Adventure,2026-05-02,2026-05-23,2026-05-31,2.0
CHK-3043,MEM-0035,1984,Dystopian,2026-04-25,2026-05-16,2026-05-19,0.75
CHK-3044,MEM-0048,The Hobbit,Adventure,2026-01-24,2026-02-14,2026-02-14,0.0
CHK-3045,MEM-0036,Brave New World,Dystopian,2026-07-20,2026-08-10,2026-08-10,0.0
CHK-3046,MEM-0021,The Catcher in the Rye,Classic Fiction,2026-01-25,2026-02-15,2026-02-15,0.0
