transaction_id,account_id,txn_date,txn_time,txn_type,channel,amount,currency,balance_after,merchant,description,is_flagged
7000011,100001,2024-02-12,21:00:00,Fee,Branch,272.45,NPR,179367.65,,Monthly account maintenance fee,False
7000017,100001,2024-05-05,12:45:00,Transfer Out,IVR,46086.82,NPR,133280.83,,Outgoing fund transfer,False
7000012,100001,2024-07-10,11:30:00,Withdrawal,POS,9482.8,NPR,123798.03,Self,ATM cash withdrawal,False
7000002,100001,2024-09-06,18:00:00,Deposit,Mobile App,19581.27,NPR,143379.3,Self,Cash deposit at branch counter,False
7000005,100001,2025-02-13,13:45:00,Transfer In,IVR,62000.39,NPR,205379.69,,Incoming fund transfer,False
7000010,100001,2025-02-15,07:45:00,Deposit,ATM,22994.74,NPR,228374.43,Self,Cash deposit at branch counter,False
7000013,100001,2025-06-06,06:00:00,Withdrawal,Internet Banking,51194.54,NPR,177179.89,Self,ATM cash withdrawal,False
7000014,100001,2025-07-23,22:00:00,Deposit,Branch,61654.59,NPR,238834.48,Self,Cash deposit at branch counter,False
7000016,100001,2025-07-27,11:45:00,Deposit,Branch,70825.65,NPR,309660.13,Self,Cash deposit at branch counter,False
7000003,100001,2025-08-28,20:45:00,Withdrawal,ATM,57068.55,NPR,252591.58,Self,ATM cash withdrawal,False
7000006,100001,2025-09-12,18:00:00,POS Purchase,Internet Banking,1830.05,NPR,250761.53,Khalti,Point-of-sale card purchase,False
7000018,100001,2025-09-19,22:30:00,Withdrawal,POS,63474.32,NPR,187287.21,Self,ATM cash withdrawal,False
7000001,100001,2025-10-01,21:15:00,Interest Credit,Internet Banking,53248.58,NPR,240535.79,,Quarterly interest credit,False
7000008,100001,2025-10-11,07:15:00,Transfer Out,IVR,48054.08,NPR,192481.71,,Outgoing fund transfer,False
7000015,100001,2025-11-08,20:45:00,Deposit,Mobile App,51910.62,NPR,244392.33,Self,Cash deposit at branch counter,False
7000004,100001,2026-02-18,07:45:00,POS Purchase,IVR,950.56,NPR,243441.77,Local ATM Withdrawal,Point-of-sale card purchase,False
7000007,100001,2026-03-30,06:45:00,Transfer Out,ATM,64147.45,NPR,179294.32,,Outgoing fund transfer,False
7000009,100001,2026-07-18,07:45:00,Withdrawal,Branch,63454.54,NPR,115839.78,Self,ATM cash withdrawal,False
7000030,100002,2024-01-02,16:00:00,Interest Credit,ATM,73235.57,NPR,830710.28,,Quarterly interest credit,False
7000046,100002,2024-02-16,07:45:00,Transfer In,Branch,13818.91,NPR,844529.19,,Incoming fund transfer,False
7000032,100002,2024-03-06,11:15:00,Interest Credit,Internet Banking,51134.18,NPR,895663.37,,Quarterly interest credit,False
7000039,100002,2024-03-16,09:45:00,Deposit,ATM,34470.29,NPR,930133.66,Self,Cash deposit at branch counter,False
7000019,100002,2024-03-30,08:30:00,Withdrawal,Branch,47515.23,NPR,882618.43,Self,ATM cash withdrawal,False
7000031,100002,2024-04-17,19:30:00,Transfer In,Mobile App,3554.31,NPR,886172.74,,Incoming fund transfer,False
7000034,100002,2024-08-11,14:45:00,Transfer Out,Branch,18822.82,NPR,867349.92,,Outgoing fund transfer,False
7000036,100002,2024-09-11,06:00:00,Loan EMI,Internet Banking,17352.92,NPR,849997,,Loan EMI auto-debit,False
7000026,100002,2024-09-18,15:30:00,POS Purchase,Mobile App,8521.94,NPR,841475.06,,Point-of-sale card purchase,False
7000020,100002,2024-11-05,10:45:00,Fee,Mobile App,498.35,NPR,840976.71,,Monthly account maintenance fee,False
7000027,100002,2024-11-28,20:15:00,Deposit,ATM,36441.29,NPR,877418,Self,Cash deposit at branch counter,False
7000043,100002,2025-02-01,09:15:00,Deposit,ATM,78766.65,NPR,956184.65,Self,Cash deposit at branch counter,False
7000041,100002,2025-02-08,11:45:00,Fee,IVR,642.97,NPR,955541.68,,Monthly account maintenance fee,False
