order_id,customer_id,product_id,quantity,unit_price,discount_pct,shipping_cost,order_date,country,order_status
ORD-10001,CUST-0001,P1018,3,203.01,0.0,20.67,2025-11-07 00:32:27,Australia,Shipped
ORD-10002,CUST-0092,P1016,2,209.3,,19.45,2026-05-02 16:19:16,USA,Placed
ORD-10003,CUST-0093,P1033,2,62.13,0.0,4.43,2026-05-25 10:58:55,United Kingdom,Delivered
ORD-10004,CUST-0118,P1002,1,15.26,0.05,5.82,2025-10-12 11:43:39,Nepal,Delivered
ORD-10005,CUST-0038,P1005,1,209.87,0.1,10.49,2026-04-21 18:24:23,USA,Delivered
ORD-10006,CUST-0111,P1007,3,202.45,0.15,20.03,2026-04-20 08:19:09,United Kingdom,Shipped
ORD-10007,CUST-0106,P1022,3,97.78,0.15,12.68,2025-11-18 17:16:03,USA,Delivered
ORD-10008,CUST-0018,P1006,3,196.17,0.0,11.51,2026-06-15 20:27:00,USA,Placed
ORD-10009,CUST-0085,P1008,1,159.0,0.2,,2026-02-07 12:48:10,United Kingdom,Cancelled
ORD-10010,CUST-0027,P1037,2,198.82,0.05,5.83,2026-01-21 20:54:08,United Kingdom,Shipped
ORD-10011,CUST-0058,P1028,3,37.99,0.2,18.01,2026-08-03 09:44:14,USA,Returned
ORD-10012,CUST-0008,P1012,1,31.62,0.0,7.4,2025-10-06 05:09:55,USA,Delivered
ORD-10013,CUST-0008,P1006,2,196.17,0.05,6.88,2026-06-18 21:42:28,USA,Shipped
ORD-10014,CUST-0022,P1004,1,228.54,0.0,9.35,2026-04-15 15:04:47,Canada,Delivered
ORD-10015,CUST-0070,P1014,3,41.71,0.05,18.08,2026-02-05 01:39:12,Australia,Shipped
ORD-10016,CUST-0057,P1026,5,123.14,0.0,8.04,2026-02-15 04:22:06,Nepal,Placed
ORD-10017,CUST-0002,P1032,2,157.75,0.05,8.45,2026-03-01 02:37:27,Germany,Shipped
ORD-10018,CUST-0102,P1003,1,75.87,0.0,15.88,2026-04-02 10:32:27,United Kingdom,Delivered
ORD-10019,CUST-0030,P1026,1,123.14,0.2,13.39,2026-04-12 03:51:15,USA,Delivered
ORD-10020,CUST-0063,P1028,2,37.99,0.05,19.53,2025-10-10 18:35:10,Germany,Delivered
ORD-10021,CUST-0030,P1034,2,245.41,0.0,24.1,2025-10-23 05:19:54,USA,Cancelled
ORD-10022,CUST-0066,P1013,1,189.39,0.2,7.31,2026-06-16 21:05:52,United Kingdom,Shipped
ORD-10023,CUST-0115,P1037,2,198.82,0.0,16.99,2026-04-15 22:59:16,USA,Returned
ORD-10024,CUST-0078,P1018,2,203.01,0.0,,2025-10-10 23:28:17,USA,Delivered
ORD-10025,CUST-0024,P1040,2,199.26,0.1,20.52,2026-06-20 23:43:57,USA,Delivered
ORD-10026,CUST-0049,P1021,2,242.13,0.0,20.94,2025-10-14 18:22:12,Canada,Delivered
ORD-10027,CUST-0045,P1003,1,75.87,0.05,16.61,2026-03-18 14:52:58,USA,Delivered
ORD-10028,CUST-0087,P1039,1,61.82,,5.53,2026-08-03 21:56:37,USA,Delivered
ORD-10029,CUST-0039,P1022,1,97.78,0.0,17.61,2025-10-14 11:16:17,USA,Delivered
ORD-10030,CUST-0144,P1025,2,207.37,0.0,21.32,2026-05-28 03:24:09,Germany,Delivered
ORD-10031,CUST-0109,P1033,1,62.13,0.0,10.85,2025-11-10 05:38:28,USA,Delivered
ORD-10032,CUST-0020,P1019,3,43.77,0.2,19.38,2026-07-14 04:46:16,Germany,Shipped
ORD-10033,CUST-0097,P1010,1,84.13,0.2,22.91,2026-03-06 08:38:53,Germany,Delivered
ORD-10034,CUST-0114,P1040,1,199.26,0.05,8.64,2025-12-09 13:23:33,Canada,Delivered
ORD-10035,CUST-0147,P1029,1,37.86,0.05,12.5,2026-07-07 05:02:20,USA,Shipped
ORD-10036,CUST-0065,P1004,2,228.54,0.1,18.8,2025-10-13 05:50:12,United Kingdom,Cancelled
ORD-10037,CUST-0070,P1029,4,37.86,0.05,23.08,2025-09-14 15:06:21,Australia,Shipped
ORD-10038,CUST-0014,P1026,2,123.14,0.0,4.11,2026-07-30 12:12:27,USA,Shipped
ORD-10039,CUST-0038,P1009,1,160.77,0.05,6.48,2025-09-03 02:53:04,USA,Cancelled
ORD-10040,CUST-0005,P1017,1,242.16,0.15,12.6,2025-11-02 01:44:18,USA,Shipped
ORD-10041,CUST-0062,P1027,2,63.12,0.0,22.96,2026-05-22 20:56:12,Australia,Delivered
ORD-10042,CUST-0062,P1010,1,84.13,0.0,12.46,2026-03-04 02:27:50,Australia,Placed
ORD-10043,CUST-0135,P1035,2,105.54,,,2026-03-11 09:14:06,United Kingdom,Returned
ORD-10044,CUST-0005,P1023,3,13.33,0.15,5.73,2025-11-08 01:36:51,USA,Delivered
ORD-10045,CUST-0091,P1035,1,105.54,0.2,13.49,2025-11-09 02:17:50,USA,Delivered
ORD-10046,CUST-0118,P1003,1,75.87,0.0,10.29,2026-06-06 17:14:09,Nepal,Placed
ORD-10047,CUST-0065,P1003,3,75.87,0.0,4.53,2026-03-08 15:54:32,United Kingdom,Shipped
ORD-10048,CUST-0103,P1029,3,37.86,0.0,14.2,2025-10-13 15:27:20,USA,Delivered
ORD-10049,CUST-0021,P1028,2,37.99,0.1,5.71,2026-04-17 21:56:26,India,Delivered
ORD-10050,CUST-0110,P1011,2,149.09,0.0,23.1,2026-07-25 02:05:18,USA,Delivered
ORD-10051,CUST-0020,P1026,1,123.14,0.15,4.17,2026-04-13 01:16:01,Germany,Delivered
ORD-10052,CUST-0033,P1005,1,209.87,0.0,15.7,2026-03-09 13:32:40,USA,Delivered
ORD-10053,CUST-0114,P1005,2,209.87,0.05,9.49,2025-12-05 18:10:10,Canada,Delivered
ORD-10054,CUST-0133,P1025,4,207.37,0.2,13.09,2026-05-10 07:17:17,India,Shipped
ORD-10055,CUST-0032,P1009,3,160.77,0.15,5.39,2026-02-11 12:38:57,USA,Delivered
ORD-10056,CUST-0017,P1036,2,169.05,0.2,18.76,2026-03-05 18:31:23,United Kingdom,Cancelled
ORD-10057,CUST-0058,P1008,5,159.0,0.0,4.07,2026-06-10 04:43:29,USA,Delivered
ORD-10058,CUST-0023,P1005,1,209.87,0.15,12.33,2025-11-04 11:32:33,United Kingdom,Returned
ORD-10059,CUST-0019,P1029,1,37.86,0.0,20.28,2025-11-06 15:45:04,India,Delivered
ORD-10060,CUST-0129,P1004,3,228.54,0.0,10.44,2026-05-24 10:20:30,United Kingdom,Delivered
ORD-10061,CUST-0021,P1017,1,242.16,0.0,10.01,2025-11-26 21:32:49,India,Returned
ORD-10062,CUST-0149,P1010,1,84.13,0.1,,2025-10-12 01:39:18,Germany,Delivered
ORD-10063,CUST-0148,P1017,2,242.16,0.05,4.15,2026-07-26 10:59:56,USA,Delivered
ORD-10064,CUST-0124,P1016,3,209.3,0.0,18.31,2026-04-26 07:25:41,United Kingdom,Delivered
ORD-10065,CUST-0088,P1039,1,61.82,0.0,22.01,2026-03-09 18:44:59,USA,Cancelled
ORD-10066,CUST-0144,P1007,1,202.45,0.0,,2026-07-13 15:13:25,Germany,Delivered
ORD-10067,CUST-0064,P1011,3,149.09,0.15,19.91,2026-05-14 11:14:01,Germany,Returned
ORD-10068,CUST-0128,P1002,1,15.26,0.05,8.13,2026-05-12 21:45:17,Germany,Delivered
ORD-10069,CUST-0121,P1019,2,43.77,0.05,9.19,2025-09-24 14:35:05,USA,Delivered
ORD-10070,CUST-0014,P1037,2,198.82,,14.34,2026-07-17 22:14:50,USA,Delivered
ORD-10071,CUST-0031,P1009,5,160.77,0.2,15.49,2026-07-06 18:32:11,Germany,Delivered
ORD-10072,CUST-0103,P1033,1,62.13,0.15,13.69,2026-05-22 05:05:21,USA,Placed
ORD-10073,CUST-0084,P1040,1,199.26,0.1,9.93,2026-05-31 17:50:05,United Kingdom,Delivered
ORD-10074,CUST-0145,P1020,1,216.42,0.0,24.57,2026-07-20 00:58:12,Canada,Placed
ORD-10075,CUST-0122,P1017,5,242.16,0.2,,2026-05-27 22:54:07,India,Delivered
ORD-10076,CUST-0098,P1010,3,84.13,0.1,,2025-11-17 15:02:07,USA,Shipped
ORD-10077,CUST-0053,P1027,2,63.12,0.05,19.32,2025-12-16 20:25:16,Australia,Delivered
ORD-10078,CUST-0084,P1031,2,188.13,0.0,14.96,2026-08-15 23:25:19,United Kingdom,Delivered
ORD-10079,CUST-0068,P1040,1,199.26,0.0,8.33,2026-01-26 07:32:48,United Kingdom,Returned
ORD-10080,CUST-0126,P1021,1,242.13,0.2,9.69,2026-03-22 12:33:57,Canada,Delivered
ORD-10081,CUST-0038,P1019,1,43.77,0.0,13.01,2025-12-13 19:36:32,USA,Returned
ORD-10082,CUST-0070,P1036,2,169.05,0.1,,2025-12-25 23:13:36,Australia,Shipped
ORD-10083,CUST-0060,P1004,1,228.54,0.05,,2025-11-20 14:48:54,Germany,Delivered
ORD-10084,CUST-0122,P1031,2,188.13,0.0,17.39,2026-06-21 08:27:17,India,Delivered
ORD-10085,CUST-0137,P1003,4,75.87,0.2,23.27,2026-05-12 06:47:00,Australia,Shipped
ORD-10086,CUST-0075,P1003,1,75.87,0.0,10.7,2026-05-27 17:58:58,Nepal,Delivered
ORD-10087,CUST-0035,P1033,1,62.13,0.0,19.22,2025-09-08 12:16:25,United Kingdom,Shipped
ORD-10088,CUST-0076,P1037,2,198.82,0.1,22.79,2025-10-15 14:35:38,Germany,Shipped
ORD-10089,CUST-0025,P1012,5,31.62,,11.75,2026-02-16 10:59:36,Australia,Delivered
ORD-10090,CUST-0150,P1037,1,198.82,0.15,17.86,2026-05-16 11:19:20,Nepal,Delivered
ORD-10091,CUST-0031,P1019,1,43.77,0.0,13.28,2026-06-09 17:08:32,Germany,Shipped
ORD-10092,CUST-0138,P1014,3,41.71,0.1,5.26,2025-10-10 20:32:26,USA,Delivered
ORD-10093,CUST-0029,P1004,3,228.54,0.0,6.72,2025-10-30 07:28:42,United Kingdom,Cancelled
ORD-10094,CUST-0150,P1032,1,157.75,,6.34,2026-06-14 16:50:04,Nepal,Delivered
ORD-10095,CUST-0079,P1002,1,15.26,0.15,5.07,2026-06-05 02:11:37,Canada,Delivered
ORD-10096,CUST-0018,P1031,1,188.13,0.2,17.29,2026-03-11 13:55:32,USA,Delivered
ORD-10097,CUST-0115,P1025,1,207.37,0.15,6.36,2026-06-03 14:18:38,USA,Delivered
ORD-10098,CUST-0136,P1009,2,160.77,0.0,24.54,2026-04-06 19:22:01,USA,Shipped
ORD-10099,CUST-0098,P1015,1,137.39,0.0,22.32,2026-08-05 15:15:50,USA,Delivered
ORD-10100,CUST-0005,P1016,1,209.3,0.0,17.95,2025-09-23 14:38:45,USA,Shipped
ORD-10101,CUST-0113,P1015,2,137.39,,14.33,2026-06-22 11:36:39,Germany,Delivered
ORD-10102,CUST-0148,P1039,3,61.82,0.0,6.58,2026-02-01 10:01:04,USA,Delivered
ORD-10103,CUST-0016,P1036,4,169.05,0.0,12.68,2026-07-27 13:52:38,Germany,Cancelled
ORD-10104,CUST-0135,P1021,2,242.13,0.0,19.72,2026-02-01 05:15:20,United Kingdom,Delivered
